1	1	G30	1
2	2	E11	1
3	3	G10	1
4	4	G20	1
5	5	A81	1
6	6	A81	1
7	7	A81	1
8	8	E85	1
9	9	I68	1
10	10	I68	1
11	11	I68	1
12	12	I68	1
13	13	Q90	1
14	14	G12	1
15	15	C75	1
16	16	E85	1
17	17	E85	1
18	18	E85	1
19	19	E85	1
20	20	E85	1
21	21	D09	1
22	22	E85	1
23	23	E85	1
24	24	E85	1
25	25	E85	1
26	26	E85	1
27	27	E85	1
28	28	E85	1
29	29	E85	1
30	30	E85	1
31	31	E85	1
33	33	E85	1
34	34	G31	1
35	34	F02	1
36	35	D16	1
37	36	A81	1
38	37	E85	1
39	38	H18	1
40	39	A81	1
42	43	H18	1
43	44	H18	1
44	45	C88	1
45	46	C85	1
46	47	C44	1
47	48	L82	1
49	50	M86	1
50	51	M06	1
51	52	K50	1
52	53	C64	1
53	54	M45	1
54	55	E31	1
55	51	M05	1
56	52	K51	1
57	58	C84	1
58	59	D80	1
59	60	D47	1
60	61	J47	1
61	62	E84	1
62	32	M10	1
63	1	D000544	2
64	2	D003924	2
65	3	D006816	2
66	4	D010300	2
67	5	D007562	2
68	6	D007729	2
69	7	D016098	2
70	8	D000075363	2
71	9	D028243	2
72	10	C538208	2
73	11	C538209	2
74	12	C537944	2
75	13	D004314	2
76	14	D000690	2
77	15	D015175	2
78	18	C537459	2
79	21	C536914	2
80	31	C567782	2
82	34	D020961	2
83	35	C537961	2
84	38	C537881	2
85	39	D034062	2
86	41	D010505	2
87	42	C562642	2
88	43	C535480	2
89	44	C535474	2
90	45	D008258	2
91	46	D008228	2
92	47	D002280	2
93	48	D017492	2
94	49	D056587	2
95	50	C535456	2
96	51	D001172	2
97	52	D015212	2
98	53	D002292	2
99	54	D013167	2
100	55	D018813	2
101	56	D019873	2
102	57	D001913	2
103	58	D009182	2
104	59	D000361	2
105	60	D005871	2
106	61	D001987	2
107	62	D003550	2
108	32	D006073	2
111	1	104300	4
112	2	125853	4
113	3	143100	4
114	4	168600	4
115	5	123400	4
116	6	245300	4
117	7	137440	4
118	9	105150	4
119	10	176500	4
120	11	117300	4
121	12	605714	4
122	13	190685	4
123	15	600634	4
124	17	105200	4
125	18	105120	4
