395	45	98	Major Component		AP00005
396	45	99	Major Component		
437	46	98	Major Component		AP00005
438	46	99	Major Component		
470	47	63	Major Component		
472	47	81	Major Component		
484	47	114	Major Component		
485	47	125	Major Component		AP00139
486	47	126	Major Component		
487	47	133	Major Component		
516	48	63	Major Component		
518	48	81	Major Component		
530	48	114	Major Component		
531	48	125	Major Component		AP00139
532	48	126	Major Component		
533	48	133	Major Component		
535	49	98	Major Component		AP00005
536	49	99	Major Component		
537	50	98	Major Component		AP00005
538	50	99	Major Component		
539	51	98	Major Component		AP00005
540	51	99	Major Component		
541	52	98	Major Component		AP00005
542	52	99	Major Component		
543	53	98	Major Component		AP00005
544	53	99	Major Component		
545	54	98	Major Component		AP00005
546	54	99	Major Component		
574	55	63	Major Component		
576	55	81	Major Component		
588	55	114	Major Component		
589	55	125	Major Component		AP00139
590	55	126	Major Component		
591	55	133	Major Component		
593	56	98	Major Component		AP00005
594	56	99	Major Component		
622	57	63	Major Component		
624	57	81	Major Component		
636	57	114	Major Component		
637	57	126	Major Component		
638	57	133	Major Component		
667	58	63	Major Component		
669	58	81	Major Component		
681	58	114	Major Component		
682	58	126	Major Component		
683	58	133	Major Component		
685	59	98	Major Component		AP00005
686	59	99	Major Component		
687	60	98	Major Component		AP00005
688	60	99	Major Component		
725	61	98	Major Component		AP00005
726	61	99	Major Component		
731	62	98	Major Component		AP00005
732	62	99	Major Component		
733	63	64	Other Component	24446896	
734	63	65	Other Component	24446896	
735	63	70	Other Component	24446896	
736	63	92	Other Component	24446896	
737	32	98	Major Component		AP00005
738	32	99	Major Component		
739	1	141	Other Component	18467692	
740	43	112	Other Component	10502582	NULL
741	45	128	Major Component		AP00017
742	8	147	Major Component		
743	24	147	Major Component		
744	42	147	Major Component		
745	45	147	Major Component		
746	46	147	Major Component		
747	47	147	Major Component		
748	48	147	Major Component		
749	55	147	Major Component		
750	57	147	Major Component		
751	58	147	Major Component		
752	61	147	Major Component		
753	8	148	Major Component		
754	24	148	Major Component		
755	42	148	Major Component		
756	45	148	Major Component		
757	46	148	Major Component		
758	47	148	Major Component		
759	48	148	Major Component		
760	55	148	Major Component		
761	57	148	Major Component		
762	58	148	Major Component		
763	61	148	Major Component		
764	23	146	Major Component		
765	24	146	Major Component		
766	51	76	Major Component		
767	1	9	Other Component	7686641	
768	1	149	Other Component	1370967	
769	64	98	Major Component		AP00005
770	64	99	Major Component		
771	65	98	Major Component		AP00005
772	65	99	Major Component		
773	66	98	Major Component		AP00005
774	66	99	Major Component		
775	67	79	Major Component		
776	67	70	Other Component	24224623	
777	68	98	Major Component		AP00005
778	68	99	Major Component		
779	69	76	Major Component		
780	69	147	Major Component		
781	69	148	Major Component		
782	70	98	Major Component		AP00005
783	70	99	Major Component		
784	71	150	Major Component		
